title,artist,top genre,year released,dur
Fancy,Iggy Azalea,australian hip hop,2014,200
Black Widow,Iggy Azalea,australian hip hop,2014,209
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2013,178
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2013,193
Trumpets,Jason Derulo,dance pop,2013,217
Don't Tell 'Em,Jeremih,chicago rap,2015,267
Bang Bang,Jessie J,dance pop,2014,199
All of Me,John Legend,neo soul,2013,270
Not a Bad Thing,Justin Timberlake,dance pop,2013,688
Dark Horse,Katy Perry,dance pop,2013,216
Show Me (feat. Chris Brown),Kid Ink,dance pop,2014,218
Hideaway,Kiesza,electropop,2014,252
Jubel - Radio Edit,Klingande,deep house,2013,202
Jealous,Labrinth,indie poptimism,2014,288
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2014,189
Team,Lorde,art pop,2013,193
Rude,MAGIC!,reggae fusion,2014,225
Maps,Maroon 5,pop,2014,190
Animals,Maroon 5,pop,2014,231
Sugar,Maroon 5,pop,2014,235
All About That Bass,Meghan Trainor,dance pop,2015,188
Stolen Dance,Milky Chance,german pop,2014,314
Classic,MKTO,dance pop,2012,175
Waves - Robin Schulz Radio Edit,Mr. Probz,dutch hip hop,2014,208
Somebody,Natalie La Rose,chicago rap,2014,190
Jealous - Remix,Nick Jonas,dance pop,2015,222
Anaconda,Nicki Minaj,dance pop,2014,260
Am I Wrong,Nico & Vinz,pop rap,2014,246
CoCo,O.T. Genasis,pop rap,2014,240
Gecko (Overdrive) - Radio Edit,Oliver Heldens,dance pop,2014,165
Wrapped Up,Olly Murs,dance pop,2014,186
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,dance pop,2014,227
Night Changes,One Direction,boy band,2014,227
Steal My Girl,One Direction,boy band,2014,228
Counting Stars,OneRepublic,dance pop,2014,258
Love Runs Out,OneRepublic,dance pop,2014,224
Only Love Can Hurt Like This,Paloma Faith,british soul,2014,233
Ain't It Fun,Paramore,candy pop,2013,297
High (feat. Nicole Millar),Peking Duk,aussietronica,2014,228
"Happy - From ""Despicable Me 2""",Pharrell Williams,pop rap,2014,233
Timber (feat. Ke$ha),Pitbull,dance pop,2012,204
Me And My Broken Heart,Rixton,pop,2014,194
My Love (feat. Jess Glynne),Route 94,deep groove house,2014,260
Stay With Me,Sam Smith,dance pop,2014,173
Money On My Mind,Sam Smith,dance pop,2014,193
Collard Greens,ScHoolboy Q,gangster rap,2014,300
Man Of The Year,ScHoolboy Q,gangster rap,2014,216
Geronimo,Sheppard,australian indie,2015,218
Chandelier,Sia,australian dance,2015,216
Elastic Heart,Sia,australian dance,2015,257
Nobody To Love,Sigma,dance pop,2014,190
Style,Taylor Swift,pop,2014,231
Bad Blood,Taylor Swift,pop,2014,212
Shake It Off,Taylor Swift,pop,2014,219
#SELFIE,The Chainsmokers,dance pop,2014,184
Superheroes,The Script,celtic rock,2014,245
Wasted,Tiësto,big room,2014,190
